"","id","word","clust","clust1","clust2","clust3","clust4","clust5","clust6"
"elast",544,"elast",3,3,2,9,3,7,3
"elector",545,"elector",30,1,1,5,2,1,2
"element",546,"element",1,2,1,1,1,1,3
"elementari",547,"elementari",5,5,1,9,8,10,4
"elimin",548,"elimin",2,2,1,1,1,9,1
"ellipt",549,"ellipt",9,2,1,9,6,5,1
"elsevi",550,"elsevi",5,5,2,9,6,10,4
"elucid",551,"elucid",15,4,1,2,2,8,3
"embryo",552,"embryo",14,4,1,5,2,2,2
"embryon",553,"embryon",23,4,1,5,2,2,2
"emerg",554,"emerg",1,6,1,8,4,1,5
"emigdio",555,"emigdio",19,3,1,9,8,7,3
"emiss",556,"emiss",4,2,4,1,1,5,1
"emot",557,"emot",1,6,1,8,3,10,5
"empir",558,"empir",1,1,1,8,3,10,3
"employ",559,"employ",27,1,1,5,3,6,3
"enabl",560,"enabl",8,4,1,5,2,2,2
"encod",561,"encod",14,4,1,5,2,2,2
"end",562,"end",15,1,1,8,8,8,3
"endocytosi",563,"endocytosi",40,4,1,9,2,5,2
"endogen",564,"endogen",14,4,1,5,2,2,6
"endonuclea",565,"endonuclea",14,4,1,5,2,2,6
"energi",566,"energi",9,2,1,5,2,5,1
"enhanc",567,"enhanc",4,2,4,1,1,5,2
"enough",568,"enough",2,2,1,1,1,9,1
"ensembl",569,"ensembl",39,2,1,1,1,9,1
"enshroud",570,"enshroud",10,2,1,1,1,5,1
"ensur",571,"ensur",1,6,1,8,3,10,5
"entir",572,"entir",5,5,1,9,6,10,4
"entiti",573,"entiti",27,1,1,6,3,6,3
"entrepreneurship",574,"entrepreneurship",27,1,1,6,3,6,3
"entri",575,"entri",21,1,1,5,2,4,7
"envelop",576,"envelop",5,2,1,9,1,10,4
"envi",577,"envi",1,6,1,8,4,1,5
"environ",578,"environ",1,2,1,8,3,5,3
"enzym",579,"enzym",12,4,1,5,2,2,9
"eocen",580,"eocen",17,3,1,3,3,11,10
"episod",581,"episod",1,6,1,8,4,1,5
"epith",582,"epith",8,4,1,5,2,2,2
"epoch",583,"epoch",4,2,1,1,1,5,1
"epsilon",584,"epsilon",5,5,1,9,8,10,4
"equal",585,"equal",3,3,1,9,3,7,3
"equat",586,"equat",5,5,2,9,6,10,4
"equilibria",587,"equilibria",22,1,1,5,6,7,2
"equilibrium",588,"equilibrium",32,1,1,5,5,4,2
"equiti",589,"equiti",28,1,1,5,3,6,2
"equiv",590,"equiv",3,2,2,9,3,7,3
"er",591,"er",12,4,1,5,2,2,9
"ergolgi",592,"ergolgi",12,4,1,5,2,2,9
"ero",593,"ero",3,3,1,9,3,7,3
"error",594,"error",5,5,1,9,8,10,4
"erupt",595,"erupt",6,3,1,6,7,3,3
"eruptiongen",596,"eruptiongen",6,3,1,6,5,3,3
"essenti",597,"essenti",8,4,1,9,6,2,2
"establish",598,"establish",23,4,1,5,2,2,2
"estim",599,"estim",3,2,2,9,3,7,3
"et",600,"et",4,2,1,9,1,5,1
"ethic",601,"ethic",1,6,1,8,4,1,5
"eukaryot",602,"eukaryot",40,4,1,9,2,5,2
"europ",603,"europ",21,1,1,5,2,4,7
"european",604,"european",21,1,1,5,2,4,7
"evalu",605,"evalu",1,6,1,8,4,1,5
"even",606,"even",22,1,1,5,6,7,2
"event",607,"event",3,1,1,9,3,7,3
"eventu",608,"eventu",1,6,1,8,4,1,5
"everi",609,"everi",12,4,1,8,4,2,2
"evid",610,"evid",1,1,4,1,1,10,3
"evolut",611,"evolut",3,3,1,9,3,7,3
"exact",612,"exact",5,5,1,9,8,10,4
"examin",613,"examin",1,1,1,8,4,1,5
"exampl",614,"exampl",7,3,1,9,7,3,3
"exceed",615,"exceed",6,3,1,6,5,3,3
"excel",616,"excel",2,2,1,1,1,9,1
"excess",617,"excess",28,1,1,1,1,6,3
"exchang",618,"exchang",5,5,1,9,5,10,4
"exclud",619,"exclud",4,1,1,9,1,5,1
"exclus",620,"exclus",9,2,1,7,1,5,1
"execut",621,"execut",1,6,6,8,4,1,5
"exhaust",622,"exhaust",10,2,1,1,1,10,1
"exhibit",623,"exhibit",2,2,1,1,1,9,1
"exist",624,"exist",19,1,4,9,3,7,3
"exogen",625,"exogen",30,1,1,5,2,1,2
"expan",626,"expan",32,1,1,5,5,4,2
"expand",627,"expand",13,3,1,8,4,4,3
"expect",628,"expect",2,2,1,1,1,9,1
"experi",629,"experi",1,6,6,8,4,1,5
"experienc",630,"experienc",1,2,1,1,3,1,3
"expert",631,"expert",1,6,1,8,4,1,5
"explain",632,"explain",3,2,1,9,3,7,3
"explicit",633,"explicit",37,5,1,9,1,10,4
"explo",634,"explo",6,3,1,6,7,3,3
"exploit",635,"exploit",12,4,1,5,2,2,9
"explor",636,"explor",1,6,1,8,4,1,5
"export",637,"export",12,4,1,5,2,2,9
"express",638,"express",3,3,2,9,3,10,2
"exten",639,"exten",11,3,1,9,3,3,3
"extend",640,"extend",2,1,4,9,1,9,1
"extens",641,"extens",11,3,1,9,8,3,3
"extern",642,"extern",39,2,1,1,1,9,1
"extinct",643,"extinct",25,2,1,1,1,5,1
"extracellular",644,"extracellular",14,4,1,5,2,2,2
"extrapol",645,"extrapol",39,2,1,1,1,9,1
"extrasolar",646,"extrasolar",39,2,1,1,1,9,1
"extrem",647,"extrem",2,2,1,1,1,9,1
"faceon",648,"faceon",18,2,1,1,1,5,1
"facilit",649,"facilit",24,1,1,9,2,2,2
"fact",650,"fact",31,2,1,4,1,5,1
"factor",651,"factor",1,1,1,8,4,1,3
"faculti",652,"faculti",1,6,1,8,4,1,5
"fail",653,"fail",12,4,1,8,4,2,2
"failur",654,"failur",30,1,1,5,2,1,2
"faint",655,"faint",2,2,1,1,1,9,1
"fallout",656,"fallout",7,3,1,6,7,3,8
"famili",657,"famili",1,4,1,9,3,10,3
"familiar",658,"familiar",5,5,1,9,8,10,4
"fault",659,"fault",16,3,4,9,3,7,3
"faultplan",660,"faultplan",19,3,1,9,8,7,3
"favor",661,"favor",17,3,1,3,3,11,10
"featur",662,"featur",2,1,1,1,1,5,1
"felt",663,"felt",1,6,1,8,4,1,5
"fenton",664,"fenton",1,6,1,8,4,1,5
"fentonsimpact",665,"fentonsimpact",1,6,1,8,4,1,5
"fervent",666,"fervent",1,6,1,8,4,1,5
"fiduci",667,"fiduci",2,2,1,1,1,9,1
"field",668,"field",4,2,1,1,1,5,1
"filament",669,"filament",23,2,1,5,1,2,2
"filamentari",670,"filamentari",31,2,1,4,1,5,1
"final",671,"final",1,4,1,8,4,1,5
"financ",672,"financ",32,1,1,5,5,4,2
"find",673,"find",2,1,4,1,1,9,3
"fingerlik",674,"fingerlik",15,4,1,2,2,8,3
"firm",675,"firm",22,1,1,9,6,7,2
"first",676,"first",1,1,1,9,4,1,5
"firstlo",677,"firstlo",27,1,1,6,3,6,3
"five",678,"five",6,2,1,8,4,3,1
"flank",679,"flank",20,3,1,6,7,4,3
"flatspectrum",680,"flatspectrum",9,2,1,7,1,5,1
"flexibl",681,"flexibl",22,1,1,4,6,7,2
"flexiblewag",682,"flexiblewag",21,1,1,5,2,4,7
"flexur",683,"flexur",3,3,2,9,3,7,3
"float",684,"float",7,3,1,6,7,3,8
"flood",685,"flood",16,3,1,6,3,7,3
"flow",686,"flow",3,3,2,9,3,7,3
"fluctuat",687,"fluctuat",6,1,1,6,5,3,3
"fluvial",688,"fluvial",16,3,1,6,3,7,3
"flux",689,"flux",6,2,1,1,5,3,1
"focal",690,"focal",19,3,1,9,8,7,3
"focus",691,"focus",1,1,1,8,4,1,5
"follow",692,"follow",6,1,1,8,7,3,3
"followup",693,"followup",1,6,1,8,4,1,5
"foreclosur",694,"foreclosur",24,1,1,9,4,1,2
"foregroundbackground",695,"foregroundbackground",2,2,1,1,1,9,1
"foresight",696,"foresight",1,6,1,8,3,10,5
"forev",697,"forev",30,1,1,5,2,1,2
"form",698,"form",7,2,1,6,7,3,3
"formal",699,"formal",41,5,1,9,6,7,4
"format",700,"format",4,2,1,1,1,5,3
"found",701,"found",2,2,4,1,1,5,1
"four",702,"four",19,3,1,9,8,7,3
"fourteen",703,"fourteen",10,2,1,1,1,10,1
"fractal",704,"fractal",7,3,1,6,7,3,8
"fraction",705,"fraction",4,1,1,1,1,5,1
"fragment",706,"fragment",7,3,1,6,7,3,3
"framework",707,"framework",5,5,1,9,5,10,4
"free",708,"free",21,1,1,5,7,4,2
"frequent",709,"frequent",4,2,1,8,1,5,1
"friedrich",710,"friedrich",41,5,1,9,6,7,4
"front",711,"front",26,3,1,4,7,7,3
"full",712,"full",1,6,1,8,4,1,5
"function",713,"function",1,2,6,1,1,9,3
"fundament",714,"fundament",4,2,1,1,1,5,1
"furthermor",715,"furthermor",4,2,1,9,1,5,1
"futur",716,"futur",1,1,1,8,3,1,3
"g",717,"g",25,2,1,1,1,5,1
"gain",718,"gain",24,1,1,9,4,1,2
"galaxi",719,"galaxi",2,2,4,1,1,5,1
"galena",720,"galena",11,3,1,6,7,3,3
"game",721,"game",24,1,1,9,2,1,2
"gap",722,"gap",2,2,1,1,1,9,1
"gas",723,"gas",11,2,1,1,1,3,3
"gaspha",724,"gaspha",39,2,1,1,1,9,1
"gear",725,"gear",36,4,1,5,2,2,2
"gender",726,"gender",1,6,1,8,4,1,5
"gene",727,"gene",14,4,1,5,2,2,2
"general",728,"general",6,1,1,9,5,3,3
"generat",729,"generat",16,1,1,9,3,7,3
"genesi",730,"genesi",12,4,1,5,2,2,9
"genet",731,"genet",11,3,1,5,7,3,3
"genotox",732,"genotox",14,4,1,5,2,2,6
"geometr",733,"geometr",5,5,1,9,8,10,4
"geometri",734,"geometri",33,5,1,9,3,7,4
"geotherm",735,"geotherm",3,3,2,9,3,7,3
"gfptag",736,"gfptag",12,4,1,5,2,2,9
"ghz",737,"ghz",9,2,1,7,1,5,1
"giant",738,"giant",2,2,1,1,1,9,1
"give",739,"give",3,1,2,9,3,7,4
"given",740,"given",2,2,1,9,1,9,1
"glaciat",741,"glaciat",20,3,1,6,7,4,3
"glass",742,"glass",13,3,1,6,7,4,3
"glial",743,"glial",23,4,1,5,2,2,2
"global",744,"global",2,1,1,9,1,9,2
"glycosylaselya",745,"glycosylaselya",14,4,1,5,2,2,6
"goal",746,"goal",2,2,1,1,1,9,1
"golgi",747,"golgi",12,4,1,5,2,2,9
"good",748,"good",22,1,1,4,6,7,2
"gpa",749,"gpa",17,3,1,3,3,11,10
"gradient",750,"gradient",5,5,1,9,6,10,4
"graduat",751,"graduat",1,6,1,8,3,10,5
"grain",752,"grain",17,3,1,3,3,11,10
"great",753,"great",7,3,1,6,7,3,8
"greater",754,"greater",6,2,1,9,5,3,3
"green",755,"green",9,2,1,7,1,5,1
"greenland",756,"greenland",16,3,1,6,3,7,3
"gregori",757,"gregori",31,2,1,4,1,5,1
"gripenberg",758,"gripenberg",37,5,1,9,1,10,4
"groov",759,"groov",15,4,1,2,2,8,3
"group",760,"group",1,2,3,8,4,1,3
"grow",761,"grow",1,4,1,8,3,10,2
"growth",762,"growth",8,1,1,5,3,2,2
"growthinhibitori",763,"growthinhibitori",8,4,1,5,2,2,2
"guckenheim",764,"guckenheim",5,5,1,9,8,10,4
"guid",765,"guid",1,6,1,8,4,1,5
"guidanc",766,"guidanc",1,6,3,8,4,1,5
"h",767,"h",25,2,4,1,1,5,1
"habit",768,"habit",28,1,1,5,3,6,2
"half",769,"half",19,2,1,9,1,7,3
"hamiltonian",770,"hamiltonian",5,5,1,9,8,10,4
"hamiltonjacobi",771,"hamiltonjacobi",5,5,1,9,8,10,4
"happen",772,"happen",13,3,1,6,7,4,3
"harm",773,"harm",24,1,1,9,4,1,2
"hazard",774,"hazard",7,3,1,6,7,3,8
"hcn",775,"hcn",10,2,4,1,1,5,1
"hd",776,"hd",34,2,1,7,1,5,1
"hdeltastrong",777,"hdeltastrong",4,2,1,1,1,5,1
"heart",778,"heart",14,4,1,5,2,2,2
"height",779,"height",18,2,1,1,1,5,1
"helen",780,"helen",6,3,1,6,5,3,3
"helic",781,"helic",15,4,1,2,2,8,3
"help",782,"help",1,6,1,8,4,1,5
"henc",783,"henc",4,2,1,1,1,5,1
"hereditari",784,"hereditari",29,4,1,5,2,2,2
"hi",785,"hi",25,2,1,1,1,5,1
"hib",786,"hib",23,4,1,5,2,2,2
"high",787,"high",8,1,1,8,3,10,2
"higher",788,"higher",1,4,1,8,4,1,3
"highlight",789,"highlight",1,6,1,8,4,1,5
"hippocamp",790,"hippocamp",23,4,1,5,2,2,2
"hippocampus",791,"hippocampus",23,4,1,5,2,2,2
"histori",792,"histori",16,3,1,6,3,7,3
"hold",793,"hold",22,1,1,9,6,7,2
"homogen",794,"homogen",22,1,1,4,6,7,2
"homolog",795,"homolog",14,4,1,5,2,2,2
"homologydepend",796,"homologydepend",14,4,1,5,2,2,6
"hopeless",797,"hopeless",1,6,1,8,4,1,5
"horizon",798,"horizon",17,3,1,3,3,11,10
"horizont",799,"horizont",19,3,1,9,8,7,3
"hospit",800,"hospit",1,6,1,8,4,1,5
"host",801,"host",9,2,1,5,2,5,1
"hot",802,"hot",16,3,1,6,3,7,3
"hotellingdown",803,"hotellingdown",30,1,1,5,2,1,2
"howev",804,"howev",1,1,3,8,4,5,3
"hr",805,"hr",12,4,1,5,2,2,9
"human",806,"human",1,4,1,8,4,1,3
"hundr",807,"hundr",16,3,1,6,3,7,3
"hyad",808,"hyad",2,2,1,1,1,9,1
"hyaloclast",809,"hyaloclast",20,3,1,6,7,4,3
"hydra",810,"hydra",4,2,1,1,1,5,1
"hydrogen",811,"hydrogen",14,4,1,5,2,2,6
"hydrolysi",812,"hydrolysi",15,4,1,2,2,8,3
"hydrotherm",813,"hydrotherm",11,3,1,6,7,3,3
"hyperbol",814,"hyperbol",5,5,1,9,8,10,4
"hyperfin",815,"hyperfin",10,2,1,1,1,5,1
"hypermethyl",816,"hypermethyl",14,4,1,5,2,2,6
"iatrogen",817,"iatrogen",1,6,1,8,3,10,5
"ice",818,"ice",20,3,1,6,7,4,3
"iceland",819,"iceland",20,3,1,6,7,4,3
"idea",820,"idea",12,1,1,5,2,2,2
"ident",821,"ident",13,3,1,6,7,4,3
"identif",822,"identif",9,2,1,7,1,5,1
"identifi",823,"identifi",9,2,1,9,2,5,3
"ie",824,"ie",3,3,1,9,3,7,3
"ii",825,"ii",4,2,1,1,1,5,1
"iii",826,"iii",2,2,1,1,1,9,2
"ill",827,"ill",1,6,1,8,4,1,5
"illustr",828,"illustr",7,3,1,6,7,3,8
"imag",829,"imag",12,2,1,1,1,2,2
"imf",830,"imf",2,2,1,1,1,9,1
"immigr",831,"immigr",21,1,1,5,2,4,7
"immort",832,"immort",8,4,1,5,2,2,2
"immunoem",833,"immunoem",12,4,1,5,2,2,9
"impact",834,"impact",17,1,1,9,3,1,3
"impair",835,"impair",1,6,1,8,4,1,5
"imperfect",836,"imperfect",22,1,1,4,6,7,2
"implant",837,"implant",23,4,1,5,2,2,2
"impli",838,"impli",17,3,1,3,3,11,10
"implic",839,"implic",15,1,1,8,3,8,3
"import",840,"import",1,2,1,9,1,9,1
"imposs",841,"imposs",22,1,1,4,6,7,2
"improv",842,"improv",1,1,3,8,3,10,5
"inactiv",843,"inactiv",8,4,1,5,2,2,2
"inc",844,"inc",5,5,2,9,6,10,4
"inci",845,"inci",16,3,1,6,3,7,3
"inclin",846,"inclin",18,2,1,1,1,5,1
"includ",847,"includ",1,1,3,1,1,9,1
"incom",848,"incom",21,1,1,5,4,4,2
"increa",849,"increa",1,1,1,1,1,9,3
"independ",850,"independ",9,2,1,9,3,10,1
"indeterminaci",851,"indeterminaci",32,1,1,5,5,4,2
"index",852,"index",17,3,1,3,3,11,10
"indic",853,"indic",10,1,4,5,3,5,3
"indirect",854,"indirect",30,1,1,5,2,1,2
"individu",855,"individu",1,4,1,8,3,10,5
"induc",856,"induc",8,1,1,5,2,2,2
"industri",857,"industri",24,1,1,9,4,1,2
"inelast",858,"inelast",3,3,2,9,3,7,3
"inequ",859,"inequ",5,5,1,9,6,10,4
"inevit",860,"inevit",26,3,1,4,7,7,3
"infer",861,"infer",7,1,1,5,7,3,3
"infimum",862,"infimum",33,5,1,9,3,7,4
"infin",863,"infin",5,5,1,9,6,10,4
"inflat",864,"inflat",1,6,3,8,4,1,5
"influenc",865,"influenc",3,3,1,9,3,7,3
"inform",866,"inform",22,1,1,8,4,7,2
"infrar",867,"infrar",9,2,1,1,1,5,1
"infraredradio",868,"infraredradio",9,2,1,7,1,5,1
"ingredi",869,"ingredi",1,6,1,8,4,10,5
"inherit",870,"inherit",12,4,1,5,2,2,9
"inhibit",871,"inhibit",8,4,1,5,2,2,2
"inhibitor",872,"inhibitor",14,4,1,5,2,2,6
"initi",873,"initi",1,4,1,9,4,1,2
"innov",874,"innov",27,1,1,5,2,6,3
"input",875,"input",27,1,1,6,7,7,3
"insight",876,"insight",40,4,1,9,2,5,2
"instabl",877,"instabl",6,3,1,6,5,3,3
"instanc",878,"instanc",5,5,1,9,6,10,4
"instead",879,"instead",14,4,1,5,2,2,2
"institut",880,"institut",1,6,1,8,4,1,5
"insul",881,"insul",21,1,1,5,2,4,7
"intact",882,"intact",1,6,1,8,4,1,5
"integr",883,"integr",24,1,1,9,4,2,2
"inten",884,"inten",1,6,1,8,4,1,5
"interact",885,"interact",8,2,1,9,3,2,2
"interest",886,"interest",1,1,1,8,3,1,3
"interestr",887,"interestr",35,1,1,6,4,7,3
"interferometr",888,"interferometr",10,2,1,1,1,5,1
"intermedi",889,"intermedi",4,1,1,1,1,5,1
"intermediari",890,"intermediari",12,4,1,5,2,2,9
"intermediateag",891,"intermediateag",2,2,1,1,1,9,1
"intern",892,"intern",1,2,1,8,3,10,5
"interperson",893,"interperson",1,6,1,8,3,10,5
"interpha",894,"interpha",12,4,1,5,2,2,9
"interpret",895,"interpret",3,3,2,9,3,7,3
"interprotofila",896,"interprotofila",15,4,1,2,2,8,3
"intersector",897,"intersector",28,1,1,5,3,6,2
"interstellar",898,"interstellar",18,2,1,1,1,5,1
"interv",899,"interv",1,6,3,8,4,10,5
"introduc",900,"introduc",28,1,1,5,3,6,2
"intuit",901,"intuit",22,1,1,4,6,7,2
"inund",902,"inund",7,3,1,6,7,3,8
"invari",903,"invari",5,5,1,9,6,10,4
"inventori",904,"inventori",1,6,1,8,4,1,5
"inver",905,"inver",5,5,1,9,6,10,4
"invert",906,"invert",28,1,1,5,3,6,2
"invest",907,"invest",32,1,1,5,2,4,2
"investig",908,"investig",2,1,1,1,1,9,1
"invok",909,"invok",26,3,1,4,7,7,3
"involv",910,"involv",1,1,2,9,4,1,3
"ion",911,"ion",5,5,2,9,5,10,4
"irc",912,"irc",10,2,4,1,1,5,1
"iron",913,"iron",11,3,1,6,7,3,3
"irregular",914,"irregular",25,2,1,1,1,5,1
"island",915,"island",11,3,1,6,7,3,3
"isochron",916,"isochron",2,2,1,1,1,9,1
"isostasi",917,"isostasi",3,3,1,9,3,7,3
"issu",918,"issu",1,1,1,9,3,10,3
"itali",919,"itali",17,3,1,3,3,11,10
"j",920,"j",10,2,1,1,1,5,1
"jakobsen",921,"jakobsen",37,5,1,9,1,10,4
"jet",922,"jet",9,2,1,7,1,5,1
"jurass",923,"jurass",26,3,1,4,7,7,3
"justif",924,"justif",5,5,1,9,8,10,4
"jy",925,"jy",25,2,1,1,1,5,1
"ka",926,"ka",13,3,1,6,7,4,3
"kaksonen",927,"kaksonen",40,4,1,9,2,5,2
"kam",928,"kam",5,5,1,9,8,10,4
"karlsen",929,"karlsen",37,5,1,9,1,10,4
"kennicutt",930,"kennicutt",4,2,1,1,1,5,1
"key",931,"key",8,1,1,5,2,2,2
"kifc",932,"kifc",15,4,1,2,2,8,3
"kina",933,"kina",14,4,1,5,2,2,2
"kind",934,"kind",34,2,1,9,3,5,1
"kinesin",935,"kinesin",15,4,1,2,2,8,3
"king",936,"king",2,2,1,1,1,9,1
"kingdom",937,"kingdom",1,6,1,8,4,1,5
"kitt",938,"kitt",4,2,1,1,1,5,1
"km",939,"km",13,2,4,1,3,4,3
"knowledg",940,"knowledg",1,6,1,8,4,1,5
"known",941,"known",3,2,1,9,3,7,3
"kolbeinsey",942,"kolbeinsey",20,3,1,6,7,4,3
"krakatau",943,"krakatau",7,3,1,6,7,3,8
"kurokotyp",944,"kurokotyp",11,3,1,6,7,3,3
"l",945,"l",4,2,1,9,1,5,1
"labor",946,"labor",21,1,1,5,2,4,7
"lack",947,"lack",8,2,1,5,3,2,2
"lahar",948,"lahar",6,3,1,6,5,3,3
"lambda",949,"lambda",18,2,1,1,1,5,1
"lamella",950,"lamella",17,3,1,3,3,11,10
"lane",951,"lane",18,2,1,1,1,5,1
"larg",952,"larg",4,2,4,1,1,5,1
"larger",953,"larger",1,2,1,8,4,4,3
"last",954,"last",20,3,1,6,7,4,3
"late",955,"late",17,3,1,6,3,11,3
"lateact",956,"lateact",14,4,1,5,2,2,2
"later",957,"later",15,4,1,8,4,8,3
"latetyp",958,"latetyp",4,2,1,1,1,5,1
"latter",959,"latter",34,2,1,7,1,5,1
"law",960,"law",27,1,1,9,6,6,3
"layer",961,"layer",13,2,1,1,3,4,3
"lead",962,"lead",3,2,1,9,3,7,3
"leadingind",963,"leadingind",28,1,1,5,3,6,2
"leagu",964,"leagu",27,1,1,6,3,6,3
"led",965,"led",3,1,1,9,3,3,3
"legaci",966,"legaci",1,6,1,8,4,1,5
"leiman",967,"leiman",36,4,1,5,2,2,2
"lemma",968,"lemma",5,5,1,9,5,10,4
"length",969,"length",5,5,1,9,5,10,4
"leraylion",970,"leraylion",33,5,1,9,3,7,4
"less",971,"less",21,1,1,5,2,4,2
"lessen",972,"lessen",1,6,1,8,3,10,5
"lessthanorequalto",973,"lessthanorequalto",18,2,1,1,1,5,1
"let",974,"let",5,5,1,9,6,10,4
"level",975,"level",6,1,1,5,7,3,2
"lie",976,"lie",5,2,1,9,6,10,4
"life",977,"life",1,6,6,8,4,1,5
"limit",978,"limit",2,1,1,1,1,9,1
"limitcircl",979,"limitcircl",41,5,1,9,6,7,4
"line",980,"line",4,2,4,1,1,5,1
"linear",981,"linear",10,2,1,1,1,5,1
"lineprofil",982,"lineprofil",34,2,1,7,1,5,1
"link",983,"link",13,3,1,6,7,4,3
"lipid",984,"lipid",12,4,1,5,2,2,9
"list",985,"list",10,2,1,1,1,10,1
"lithic",986,"lithic",7,3,1,6,7,3,8
"lithofaci",987,"lithofaci",7,3,1,6,7,3,8
"litholog",988,"litholog",7,3,1,6,7,3,8
"lithosph",989,"lithosph",3,3,2,9,3,7,3
"litnit",990,"litnit",5,5,1,9,8,10,4
"littl",991,"littl",1,6,1,8,3,10,5
"live",992,"live",1,6,1,8,3,10,5
"load",993,"load",3,3,2,9,3,7,3
"lobe",994,"lobe",9,2,1,7,1,5,1
"local",995,"local",3,2,2,9,3,7,3
"locat",996,"locat",4,2,4,9,1,5,4
"loci",997,"loci",14,4,1,5,2,2,6
"lock",998,"lock",36,4,1,5,2,2,2
"locus",999,"locus",14,4,1,5,2,2,6
"logarithm",1000,"logarithm",9,2,1,7,1,5,1
"lone",1001,"lone",1,6,1,8,4,1,5
"loneli",1002,"loneli",1,6,1,8,4,1,5
"long",1003,"long",3,3,1,9,3,7,3
"longer",1004,"longer",1,1,1,9,4,1,5
"longterm",1005,"longterm",1,3,1,8,3,3,3
"look",1006,"look",5,5,1,9,6,10,4
"loop",1007,"loop",15,2,1,4,2,8,3
"loss",1008,"loss",12,4,1,8,4,2,2
"low",1009,"low",1,6,1,8,4,1,5
"lowangl",1010,"lowangl",19,3,4,9,8,7,3
"lowenergi",1011,"lowenergi",20,3,1,6,7,4,3
"lower",1012,"lower",1,1,2,9,3,7,2
"lowli",1013,"lowli",7,3,1,6,7,3,8
"lumino",1014,"lumino",2,2,1,1,1,9,1
"m",1015,"m",2,1,4,1,1,9,1
"made",1016,"made",18,2,1,1,1,5,1
"mag",1017,"mag",2,2,1,1,1,9,1
"magma",1018,"magma",13,3,1,6,7,4,3
"magnitud",1019,"magnitud",2,2,1,1,1,9,1
"main",1020,"main",2,2,1,1,1,9,1
"mainsequ",1021,"mainsequ",2,2,5,1,1,9,1
"maintain",1022,"maintain",21,1,1,5,2,4,7
"mainten",1023,"mainten",1,6,1,8,3,10,5
"major",1024,"major",3,1,1,9,3,3,3
"make",1025,"make",1,1,1,9,4,1,5
"malform",1026,"malform",14,4,1,5,2,2,2
"mammalian",1027,"mammalian",23,4,1,5,2,2,2
"mammari",1028,"mammari",8,4,1,5,2,2,2
"manag",1029,"manag",1,6,1,8,3,10,5
"manageri",1030,"manageri",27,1,1,6,3,6,3
"mani",1031,"mani",22,1,1,1,1,7,3
"manic",1032,"manic",1,6,1,8,4,1,5
"mantl",1033,"mantl",3,3,1,9,3,7,3
"map",1034,"map",9,2,1,7,1,5,1
"market",1035,"market",21,1,1,9,4,4,2
"markov",1036,"markov",22,1,1,5,6,7,2
"mask",1037,"mask",1,6,1,8,4,1,5
"mass",1038,"mass",2,2,4,1,1,9,1
"massignano",1039,"massignano",17,3,1,3,3,11,10
"massiv",1040,"massiv",2,2,1,1,1,9,3
"massivesulfid",1041,"massivesulfid",11,3,1,6,7,3,3
"match",1042,"match",2,2,1,1,1,9,1
"materi",1043,"materi",7,2,1,1,3,3,3
"mather",1044,"mather",5,5,1,9,8,10,4
"matric",1045,"matric",1,6,1,8,4,1,5
"matrix",1046,"matrix",14,4,1,5,2,2,2
"maximum",1047,"maximum",33,5,1,9,3,7,4
"mb",1048,"mb",4,2,1,1,1,5,1
"mdm",1049,"mdm",29,4,1,5,2,2,2
"mean",1050,"mean",1,1,1,8,3,10,5
"meanrevert",1051,"meanrevert",22,1,1,4,6,7,2
"measur",1052,"measur",6,3,6,9,4,3,3
"mechan",1053,"mechan",3,3,2,9,3,7,3
"median",1054,"median",30,1,1,5,2,1,2
"mediat",1055,"mediat",8,4,1,5,2,2,2
"medic",1056,"medic",1,6,1,8,3,10,5
"megagramskm",1057,"megagramskm",6,3,1,6,5,3,3
"member",1058,"member",15,4,1,2,2,8,3
"membran",1059,"membran",12,4,1,9,2,2,2
"merger",1060,"merger",24,1,1,9,4,1,2
"merit",1061,"merit",1,6,1,8,4,1,5
"metaanali",1062,"metaanali",1,6,1,8,4,1,5
"metaanalysi",1063,"metaanalysi",1,6,1,8,4,1,5
"metal",1064,"metal",2,2,1,1,1,9,1
"metalpollut",1065,"metalpollut",39,2,1,1,1,9,1
"meter",1066,"meter",16,3,1,6,3,7,3
"methanesulfon",1067,"methanesulfon",14,4,1,5,2,2,6
"method",1068,"method",1,5,3,9,4,1,3
"methodolog",1069,"methodolog",1,6,3,8,4,1,5
"methyl",1070,"methyl",14,4,1,5,2,2,6
"mexico",1071,"mexico",31,2,1,4,1,5,1
"mg",1072,"mg",6,2,1,1,5,3,3
"mgkm",1073,"mgkm",6,3,1,6,5,3,3
"mh",1074,"mh",25,2,1,1,1,5,1
"microscop",1075,"microscop",36,4,1,5,2,2,2
"microscopi",1076,"microscopi",40,4,1,9,2,5,2
"microstructur",1077,"microstructur",17,3,1,3,3,11,10
"microtubul",1078,"microtubul",15,4,1,2,2,8,3
"middl",1079,"middl",15,3,1,9,2,8,3
"midocean",1080,"midocean",20,3,1,6,7,4,3
"might",1081,"might",23,4,1,5,2,2,2
"migrat",1082,"migrat",21,1,1,5,2,4,7
"mild",1083,"mild",1,6,1,8,4,1,5
"minim",1084,"minim",1,4,1,9,3,10,5
"minimax",1085,"minimax",5,5,1,9,6,10,4
"minor",1086,"minor",9,2,1,1,1,5,1
"minoraxi",1087,"minoraxi",9,2,1,7,1,5,1
"misindentif",1088,"misindentif",4,2,1,1,1,5,1
"mitig",1089,"mitig",6,3,1,6,5,3,3
